2020/1/1,27
2020/1/2,27
2020/1/3,44
2020/1/4,44
2020/1/5,59
2020/1/6,59
2020/1/7,59
2020/1/8,59
2020/1/9,59
2020/1/10,59
2020/1/11,59
2020/1/12,59
2020/1/13,60
2020/1/14,60
2020/1/15,61
2020/1/16,61
2020/1/17,66
2020/1/18,83
2020/1/19,219
2020/1/20,239
2020/1/21,392
2020/1/22,534
2020/1/23,631
2020/1/24,897
2020/1/25,1350
2020/1/26,2023
2020/1/27,2820
2020/1/28,4587
2020/1/29,6067
2020/1/30,7823
2020/1/31,9826
2020/2/1,11946
2020/2/2,14554
2020/2/3,17372
2020/2/4,20615
2020/2/5,24522
2020/2/6,28273
2020/2/7,31491
2020/2/8,34933
2020/2/9,37552
2020/2/10,40540
2020/2/11,43105
2020/2/12,45177
2020/2/13,60328
2020/2/14,64543
2020/2/15,67103
2020/2/16,69265
2020/2/17,71332
2020/2/18,73327
2020/2/19,75191
2020/2/20,75723
2020/2/21,76719
2020/2/22,77804
2020/2/23,78812
2020/2/24,79339
2020/2/25,80132
2020/2/26,80997
2020/2/27,82106
2020/2/28,83375
2020/2/29,85223
2020/3/1,87042
2020/3/2,89136
2020/3/3,90969
2020/3/4,93250
2020/3/5,95566
2020/3/6,98599
2020/3/7,102734
2020/3/8,106666
2020/3/9,110844
2020/3/10,115597
2020/3/11,120587
2020/3/12,128249
2020/3/13,137435
2020/3/14,147484
2020/3/15,159669
2020/3/16,172055
2020/3/17,185988
2020/3/18,202703
2020/3/19,222833
2020/3/20,253559
2020/3/21,285113
2020/3/22,319079
2020/3/23,352974
2020/3/24,396854
2020/3/25,438409
2020/3/26,491164
2020/3/27,551586
2020/3/28,616390
2020/3/29,678650
2020/3/30,735441
2020/3/31,799674
2020/4/1,873079
2020/4/2,950163
2020/4/3,1026976
2020/4/4,1108201
2020/4/5,1192459
2020/4/6,1260801
2020/4/7,1333956
2020/4/8,1409046
2020/4/9,1493917
2020/4/10,1580326
2020/4/11,1670281
2020/4/12,1750723
2020/4/13,1820865
2020/4/14,1886475
2020/4/15,1964114
2020/4/16,2043033
2020/4/17,2126427
2020/4/18,2208379
2020/4/19,2287793
2020/4/20,2359094
2020/4/21,2434788
2020/4/22,2520808
2020/4/23,2586938
2020/4/24,2664432
2020/4/25,2737504
2020/4/26,2837407
2020/4/27,2919860
2020/4/28,2985842
2020/4/29,3057330
2020/4/30,3135126
2020/5/1,3219651
2020/5/2,3311112
2020/5/3,3392081
2020/5/4,3470325
2020/5/5,3547799
2020/5/6,3627277
2020/5/7,3717380
2020/5/8,3811352
2020/5/9,3901382
2020/5/10,3991192
2020/5/11,4067828
2020/5/12,4138949
2020/5/13,4224790
2020/5/14,4310864
2020/5/15,4407509
2020/5/16,4505536
2020/5/17,4599556
2020/5/18,4680559
2020/5/19,4767726
2020/5/20,4862820
2020/5/21,4962386
2020/5/22,5070116
2020/5/23,5176680
2020/5/24,5277595
2020/5/25,5371597
2020/5/26,5460747
2020/5/27,5556711
2020/5/28,5659330
2020/5/29,5778040
2020/5/30,5901017
2020/5/31,6028738
2020/6/1,6136572
2020/6/2,6237002
2020/6/3,6349611
2020/6/4,6476329
2020/6/5,6604082
2020/6/6,6737618
2020/6/7,6863420
2020/6/8,6979677
2020/6/9,7085464
2020/6/10,7211119
2020/6/11,7344559
2020/6/12,7482088
2020/6/13,7626590
2020/6/14,7760557
2020/6/15,7882683
2020/6/16,8001532
2020/6/17,8143020
2020/6/18,8319560
2020/6/19,8458337
2020/6/20,8635659
2020/6/21,8797653
2020/6/22,8927545
2020/6/23,9063821
2020/6/24,9229672
2020/6/25,9401004
2020/6/26,9582584
2020/6/27,9771843
2020/6/28,9953229
2020/6/29,10113462
2020/6/30,10273424
2020/7/1,10465987
2020/7/2,10666202
2020/7/3,10844591
2020/7/4,11051135
2020/7/5,11240740
2020/7/6,11419719
2020/7/7,11595164
2020/7/8,11802188
2020/7/9,12017661
2020/7/10,12246269
2020/7/11,12476320
2020/7/12,12694498
2020/7/13,12889793
2020/7/14,13079218
